,OrderID,ProductNo,Volume,BuildByDate,OrderDate,PrepDate,PrepVolume,UnitizeNLT,ShipNLTDate,BulkQCDate,AmpDate,GreenSheet,SOLink,Notes
103,78790.0,QRR010934,2000000.0,2016-09-21 00:00:00,2016-09-14,2020-02-03,2000000.0,2016-09-22 00:00:00,2016-09-23 00:00:00,2020-02-03,2020-02-05,2016-09-23 00:00:00,Mechatronics,
104,77918.0,QRR010934,2000000.0,2016-09-06 00:00:00,2016-08-08,2020-02-03,2000000.0,2016-09-07 00:00:00,2016-09-08 00:00:00,2020-02-03,2020-02-05,2016-09-08 00:00:00,Mechatronics,
105,77609.0,QRR010934,2000000.0,2016-08-01 00:00:00,2016-07-26,2020-02-03,2000000.0,2016-08-02 00:00:00,2016-08-03 00:00:00,2020-02-03,2020-02-05,2016-08-03 00:00:00,Mechatronics,
106,76712.0,QRR010934,2000000.0,2016-07-11 00:00:00,2016-06-30,2020-02-03,2000000.0,2016-07-12 00:00:00,2016-07-13 00:00:00,2020-02-03,2020-02-05,2016-07-13 00:00:00,Mechatronics,
107,76367.0,QRR010934,2000000.0,2016-06-27 00:00:00,2016-06-16,2020-02-03,2000000.0,2016-06-28 00:00:00,2016-06-29 00:00:00,2020-02-03,2020-02-05,2016-06-29 00:00:00,Mechatronics,
108,75533.0,QRR010934,2000000.0,2016-05-30 00:00:00,2016-05-11,2020-02-03,2000000.0,2016-06-01 00:00:00,2016-06-02 00:00:00,2020-02-03,2020-02-05,2016-06-02 00:00:00,Mechatronics,
109,80547.0,QRR010934,2000000.0,2016-01-05 00:00:00,2016-12-09,2020-02-03,2000000.0,2016-01-06 00:00:00,2016-01-06 00:00:00,2020-02-03,2020-02-05,2016-01-06 00:00:00,Mechatronics,
110,86783.0,QRR010934,2000000.0,2017-09-11 00:00:00,2017-09-05,2020-02-03,2000000.0,2017-09-12 00:00:00,2017-09-14 00:00:00,2020-02-03,2020-02-05,2017-09-13 00:00:00,Mechatronics,
111,84357.0,QRR010934,2000000.0,2017-05-30 00:00:00,2017-05-17,2020-02-03,2000000.0,2017-05-31 00:00:00,2017-06-02 00:00:00,2020-02-03,2020-02-05,2017-06-01 00:00:00,Mechatronics,
112,83503.0,QRR010934,2000000.0,2017-05-01 00:00:00,2017-04-10,2020-02-03,2000000.0,2017-05-02 00:00:00,2017-05-03 00:00:00,2020-02-03,2020-02-05,2017-05-03 00:00:00,Mechatronics,
