127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/js/ajax_editor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/js/typeahead.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:57, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.030000
127.0.0.1, 2019-10-01 10:40:57, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.060000
127.0.0.1, 2019-10-01 10:40:57, GET, /admin/static/_2.18.5/images/save_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:40:57, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.161000
127.0.0.1, 2019-10-01 10:40:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.181000
127.0.0.1, 2019-10-01 10:40:57, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.138000
127.0.0.1, 2019-10-01 10:40:57, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.252000
127.0.0.1, 2019-10-01 10:40:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-10-01 10:41:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.027000
127.0.0.1, 2019-10-01 10:41:58, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.385000
127.0.0.1, 2019-10-01 10:42:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.028000
127.0.0.1, 2019-10-01 10:42:58, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.216000
127.0.0.1, 2019-10-01 10:43:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.021000
127.0.0.1, 2019-10-01 10:43:58, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.421000
127.0.0.1, 2019-10-01 10:44:27, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.021000
127.0.0.1, 2019-10-01 10:44:45, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.013000
127.0.0.1, 2019-10-01 10:44:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.028000
127.0.0.1, 2019-10-01 10:44:58, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.193000
127.0.0.1, 2019-10-01 10:45:30, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.096000
127.0.0.1, 2019-10-01 10:45:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-10-01 10:46:54, POST, /admin/default/create_file, HTTP/1.1, 303, 0.038000
127.0.0.1, 2019-10-01 10:46:55, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.330000
127.0.0.1, 2019-10-01 10:46:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-10-01 10:47:46, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.028000
127.0.0.1, 2019-10-01 10:47:46, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.027000
127.0.0.1, 2019-10-01 10:47:47, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.024000
127.0.0.1, 2019-10-01 10:47:47, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.103000
127.0.0.1, 2019-10-01 10:47:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.133000
127.0.0.1, 2019-10-01 10:47:47, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.018000
127.0.0.1, 2019-10-01 10:47:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.309000
127.0.0.1, 2019-10-01 10:47:47, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-10-01 10:48:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067000
127.0.0.1, 2019-10-01 10:48:48, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.173000
127.0.0.1, 2019-10-01 10:49:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.026000
127.0.0.1, 2019-10-01 10:49:48, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.508000
127.0.0.1, 2019-10-01 10:50:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.072000
127.0.0.1, 2019-10-01 10:50:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.261000
127.0.0.1, 2019-10-01 10:50:53, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2019-10-01 10:50:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.387000
127.0.0.1, 2019-10-01 10:51:12, GET, /pluralsight/basics/helloworld, HTTP/1.1, 200, 0.464000
127.0.0.1, 2019-10-01 10:51:20, POST, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.024000
127.0.0.1, 2019-10-01 10:51:24, GET, /pluralsight/basics/helloworld, HTTP/1.1, 200, 0.072000
127.0.0.1, 2019-10-01 10:51:26, GET, /pluralsight/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-10-01 10:51:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067000
127.0.0.1, 2019-10-01 10:51:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.199000
127.0.0.1, 2019-10-01 10:52:26, POST, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.023000
127.0.0.1, 2019-10-01 10:52:32, GET, /pluralsight/basics/helloworld, HTTP/1.1, 200, 0.382000
127.0.0.1, 2019-10-01 10:52:34, GET, /pluralsight/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:52:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066000
127.0.0.1, 2019-10-01 10:52:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.215000
127.0.0.1, 2019-10-01 10:53:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070000
127.0.0.1, 2019-10-01 10:53:48, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.296000
127.0.0.1, 2019-10-01 10:54:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.087000
127.0.0.1, 2019-10-01 10:54:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.284000
127.0.0.1, 2019-10-01 10:55:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.069000
127.0.0.1, 2019-10-01 10:55:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.276000
127.0.0.1, 2019-10-01 10:56:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.093000
127.0.0.1, 2019-10-01 10:56:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.248000
127.0.0.1, 2019-10-01 10:57:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.068000
127.0.0.1, 2019-10-01 10:57:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.274000
127.0.0.1, 2019-10-01 10:58:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.072000
127.0.0.1, 2019-10-01 10:58:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.284000
127.0.0.1, 2019-10-01 10:59:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066000
127.0.0.1, 2019-10-01 10:59:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.278000
127.0.0.1, 2019-10-01 11:00:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.096000
127.0.0.1, 2019-10-01 11:00:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.299000
127.0.0.1, 2019-10-01 11:01:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.069000
127.0.0.1, 2019-10-01 11:01:47, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.258000
127.0.0.1, 2019-10-01 11:01:52, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.376000
127.0.0.1, 2019-10-01 11:01:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-10-01 11:01:57, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.058000
127.0.0.1, 2019-10-01 11:01:58, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.207000
127.0.0.1, 2019-10-01 11:01:58, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.293000
127.0.0.1, 2019-10-01 11:01:58, GET, /favicon.ico, HTTP/1.1, 400, 0.012000
127.0.0.1, 2019-10-01 11:01:58, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.694000
127.0.0.1, 2019-10-01 11:01:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.715000
127.0.0.1, 2019-10-01 11:01:58, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.424000
127.0.0.1, 2019-10-01 11:01:59, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.829000
127.0.0.1, 2019-10-01 11:02:04, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.486000
127.0.0.1, 2019-10-01 11:02:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-10-01 11:02:29, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.069000
127.0.0.1, 2019-10-01 11:02:30, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.047000
127.0.0.1, 2019-10-01 11:02:30, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.066000
127.0.0.1, 2019-10-01 11:02:31, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.544000
127.0.0.1, 2019-10-01 11:02:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.561000
127.0.0.1, 2019-10-01 11:02:31, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.098000
127.0.0.1, 2019-10-01 11:02:31, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-10-01 11:02:31, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.777000
127.0.0.1, 2019-10-01 11:03:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066000
127.0.0.1, 2019-10-01 11:03:30, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.208000
127.0.0.1, 2019-10-01 11:04:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067000
127.0.0.1, 2019-10-01 11:04:30, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.327000
127.0.0.1, 2019-10-01 11:05:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.084000
127.0.0.1, 2019-10-01 11:05:30, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.279000
127.0.0.1, 2019-10-01 11:06:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109000
127.0.0.1, 2019-10-01 11:06:30, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.256000
127.0.0.1, 2019-10-01 11:07:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.102000
127.0.0.1, 2019-10-01 11:07:30, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.280000
127.0.0.1, 2019-10-01 11:08:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066000
127.0.0.1, 2019-10-01 11:08:30, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.312000
